Event DateTime | 2020-11-15T00:07:16; Workstation | 020; Alarm type | 2; New Color | Yellow; Length of alarm (minutes) | 0
Event DateTime | 2020-11-15T00:07:18; Workstation | 040; Alarm type | 3; New Color | Red; Length of alarm (minutes) | 0
Event DateTime | 2020-11-15T00:07:19; Workstation | 040; Alarm type | 3; New Color | Green; Length of alarm (minutes) | 0.0166666666666667
Event DateTime | 2020-11-15T00:07:20; Workstation | 020; Alarm type | 2; New Color | Green; Length of alarm (minutes) | 0.0666666666666667
Event DateTime | 2020-11-17T09:15:43; Workstation | 020; Alarm type | 2; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-17T09:15:48; Workstation | 040; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-17T09:18:08; Workstation | 040; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 140
Event DateTime | 2020-11-17T09:18:09; Workstation | 020; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 145
Event DateTime | 2020-11-21T20:26:53; Workstation | 03B; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-21T20:26:55; Workstation | 020; Alarm type | 0; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-21T20:26:57; Workstation | 020; Alarm type | 0; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-11-21T20:26:57; Workstation | 03B; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 3
Event DateTime | 2020-11-22T06:52:05; Workstation | 03B; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T06:52:08; Workstation | 040; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T06:52:10; Workstation | 03B; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 4
Event DateTime | 2020-11-22T06:52:10; Workstation | 040; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-11-22T06:54:02; Workstation | 03B; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T06:54:03; Workstation | 03B; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-11-22T10:22:27; Workstation | 020; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T10:22:30; Workstation | 03B; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T10:22:33; Workstation | 03B; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 3
Event DateTime | 2020-11-22T10:22:37; Workstation | 020; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 10
Event DateTime | 2020-11-22T10:22:40; Workstation | 040; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T10:22:45; Workstation | 040; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 5
Event DateTime | 2020-11-22T10:22:52; Workstation | 03B; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T10:22:54; Workstation | 03B; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-11-22T10:22:56; Workstation | 03B; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T10:22:57; Workstation | 03B; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-11-27T20:19:20; Workstation | 020; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-27T20:19:23; Workstation | 020; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-12-24T13:38:34; Workstation | 03B; Alarm type | 2; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:38:37; Workstation | 03B; Alarm type | 4; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:38:40; Workstation | 03B; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 6
Event DateTime | 2020-12-24T13:38:40; Workstation | 03B; Alarm type | 4; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-12-24T13:39:27; Workstation | 020; Alarm type | 2; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:42:05; Workstation | 03B; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:42:07; Workstation | 040; Alarm type | 3; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:42:08; Workstation | 040; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:42:09; Workstation | 03B; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 3
Event DateTime | 2020-12-24T13:42:09; Workstation | 020; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 162
Event DateTime | 2020-12-24T13:42:11; Workstation | 03B; Alarm type | 4; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:42:13; Workstation | 040; Alarm type | 4; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:03:49; Workstation | 03B; Alarm type | 4; New Color | Green; Length of alarm (seconds) | 1298
Event DateTime | 2020-12-24T14:03:49; Workstation | 040; Alarm type | 4; New Color | Green; Length of alarm (seconds) | 1296
Event DateTime | 2020-12-24T14:23:26; Workstation | 020; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:24:10; Workstation | 020; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 44
Event DateTime | 2020-12-24T14:24:45; Workstation | 020; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:24:47; Workstation | 020; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-12-24T14:24:51; Workstation | 020; Alarm type | 2; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:24:56; Workstation | 020; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 4
